rigSerial,startHoleTime,endHoleTime,currentShift,software,holeID,drilledMeters,penRate,overDrill,spatialInaccuracy,bitDiameter,GPS,posMode,anchorMode,collarMode,drillMode,activationMode,borderHoleFlag,status
RigNumber,31/01/2025 15:15,31/01/2025 15:21,2025-01-31 D,6.28.1,1,3.912252037,0.019721,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 15:23,31/01/2025 15:28,2025-01-31 D,6.28.1,2,3.990762458,0.022248,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 15:35,31/01/2025 15:40,2025-01-31 D,6.28.1,3,3.908833586,0.022118,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 15:43,31/01/2025 15:47,2025-01-31 D,6.28.1,4,3.890568082,0.0257,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,31/01/2025 15:53,31/01/2025 15:57,2025-01-31 D,6.28.1,5,3.900862725,0.022815,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,31/01/2025 16:00,31/01/2025 16:05,2025-01-31 D,6.28.1,6,4.070084766,0.020927,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,31/01/2025 16:17,31/01/2025 16:23,2025-01-31 D,6.28.1,7,4.384698507,0.019082,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 16:38,31/01/2025 16:44,2025-01-31 D,6.28.1,8,5.004572409,0.019062,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,31/01/2025 17:07,31/01/2025 17:17,2025-01-31 D,6.28.1,9,5.129322762,0.01798,-10000,-10000,165,1,None,None,None,1,None,0,Success
RigNumber,31/01/2025 17:28,31/01/2025 17:33,2025-01-31 D,6.28.1,10,4.684624425,0.020939,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 17:37,31/01/2025 17:47,2025-01-31 D,6.28.1,11,5.492207662,0.013621,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 17:57,31/01/2025 18:04,2025-01-31 D,6.28.1,12,4.852091714,0.021233,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 18:10,31/01/2025 18:16,2025-01-31 N,6.28.1,13,4.876148172,0.021546,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 18:20,31/01/2025 18:34,2025-01-31 N,6.28.1,14,4.988005012,0.018155,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 18:38,31/01/2025 18:45,2025-01-31 N,6.28.1,15,5.015062612,0.018432,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 18:54,31/01/2025 19:01,2025-01-31 N,6.28.1,16,5.001212153,0.018784,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 19:17,31/01/2025 19:24,2025-01-31 N,6.28.1,17,4.950751963,0.020176,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 19:40,31/01/2025 19:46,2025-01-31 N,6.28.1,18,4.808259248,0.021623,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 19:57,31/01/2025 20:06,2025-01-31 N,6.28.1,19,4.701240368,0.02049,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 20:15,31/01/2025 20:30,2025-01-31 N,6.28.1,20,4.553015814,0.018693,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 20:43,31/01/2025 20:50,2025-01-31 N,6.28.1,21,4.47706712,0.018643,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 20:55,31/01/2025 21:07,2025-01-31 N,6.28.1,22,4.40507673,0.013867,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 21:11,31/01/2025 21:17,2025-01-31 N,6.28.1,23,4.317177203,0.019908,-10000,-10000,165,1,None,None,None,1,None,1,Success
RigNumber,31/01/2025 21:21,31/01/2025 21:41,2025-01-31 N,6.28.1,24,4.402319048,0.018453,-10000,-10000,165,1,None,None,None,1,None,1,Success
