RigSerial,EventDate,EventTime,TimeIndex,EventType,EventAction,EVFILE
1111,31/01/2025,23:54:10,0,MachineState,Tramming,EV31235841_9962
1111,31/01/2025,23:54:35,0,MachineState,Positioning,EV31235841_9962
1111,31/01/2025,23:55:23,0,AutoCollar,On,EV31235841_9962
1111,31/01/2025,23:55:25,0,MachineState,RodHandling,EV31235841_9962
1111,31/01/2025,23:55:33,0,MachineState,Idle,EV31235841_9962
1111,31/01/2025,23:55:36,0,MachineState,Drilling,EV31235841_9962
1112,31/01/2025,23:59:20,0,AutoCollar,Off,EV01000342_4457
1112,31/01/2025,23:59:20,1,AutoClean,On,EV01000342_4457
1112,31/01/2025,23:59:48,0,AutoClean,Off,EV01000342_4457
1112,31/01/2025,23:59:48,1,AutoCollar,On,EV01000342_4457
1112,31/01/2025,23:59:48,2,AutoCollar,Off,EV01000342_4457
1112,31/01/2025,23:59:48,3,AutoDrill,On,EV01000342_4457
1112,31/01/2025,23:59:56,0,AutoDrill,Off,EV01000342_4457
1112,31/01/2025,23:59:56,1,AutoCollar,On,EV01000342_4457
1112,01/02/2025,00:00:01,0,AutoCollar,Off,EV01000342_4457
1112,01/02/2025,00:00:01,1,AutoClean,On,EV01000342_4457
1112,01/02/2025,00:00:32,0,AutoClean,Off,EV01000342_4457
1112,01/02/2025,00:00:33,0,AutoClean,On,EV01000342_4457
1112,01/02/2025,00:00:43,0,AutoClean,Off,EV01000342_4457
1112,01/02/2025,00:00:43,1,AutoRetract,On,EV01000342_4457
1112,01/02/2025,00:01:08,0,AutoDrillingCompleted,Event,EV01000342_4457
1112,01/02/2025,00:01:08,1,AutoRetract,Off,EV01000342_4457
1112,01/02/2025,00:01:11,0,MachineState,Idle,EV01000342_4457
1112,01/02/2025,00:01:11,1,MachineState,Positioning,EV01000342_4457
1112,01/02/2025,00:01:43,0,MachineState,Tramming,EV01000342_4457
1112,01/02/2025,00:02:09,0,MachineState,Positioning,EV01000342_4457
1112,01/02/2025,00:02:55,0,AutoCollar,On,EV01000342_4457
1112,01/02/2025,00:02:58,0,MachineState,Idle,EV01000342_4457
1112,01/02/2025,00:03:00,0,MachineState,RodHandling,EV01000342_4457
1112,01/02/2025,00:03:05,0,MachineState,Idle,EV01000342_4457
1112,01/02/2025,00:03:10,0,MachineState,Drilling,EV01000342_4457
1113,01/02/2025,00:07:18,0,AutoCollar,Off,EV01000842_4458
1113,01/02/2025,00:07:18,1,AutoClean,On,EV01000842_4458
1113,01/02/2025,00:07:47,0,AutoClean,Off,EV01000842_4458
1113,01/02/2025,00:07:47,1,AutoCollar,On,EV01000842_4458
1113,01/02/2025,00:07:47,2,AutoCollar,Off,EV01000842_4458
1113,01/02/2025,00:07:47,3,AutoDrill,On,EV01000842_4458
1113,01/02/2025,00:07:58,0,AutoDrill,Off,EV01000842_4458
1113,01/02/2025,00:07:58,1,AutoCollar,On,EV01000842_4458
