AutoClean,BetweenADIA,AutoNavigationIsActive_C,ReducedFeedForceJacksNotOnGround,MoistureContentCollar,STB State E-Stop,EadJamRpmTimeout,EadLowRpmJamEscape_C,startCycleTime,EadVibrationJamEscape,AutoDrill_C,EadTorqueJamEscape_C,EvBitInGround,AvePercPressure,AutoDrillIsActive,DB_TORQUE_MAX,STB State Local Manual,STB State Remote Autonomous,BZ EndtoSetup,AvePenetrRate,EadJamLowFlushTimeout_C,AveDampPressure,AutoDelevel,penRate,AutoCleanInHole_Count,MaxNoOfJamExceededError,rigSerial,MoistureContentClean,STB State Remote Allocated,JamCount,AutoDrill2Enabled,EadJamRpmTimeout_C,status,AirFlowReturn,EadJamAirPressTimeout,EadAirPressureJamEscape_C,DelayInCycle,EadTorqueJamEscape,RemotePropelEStop2_Manual,AutoDrillIsActive_C,drilledMeters,activationMode,endHoleTime,Software,PropelState,BY HoleTime,EndHoleTimeInADPE,currentShift,endCycleTime,anchorMode,AutoLevel_C,Local,BetweenAD,GPS,DrillState,AutoCleanInHole,STB State Remote Switched,spatialInaccuracy,Jam,software,posMode,EadJamRotationTorqueTimeout,TotalCycleTime,Remote,AutoCollar,EadJamAirPressTimeout_C,bitDiameter,BX DrillToStart,EadLowPenrateJamEscape_C,EadJamVibrationTimeout_C,AutoLevel,Intervention,AveFlushPressure,ManualJacks,AutoDrill,AutoDelevel_C,AveFeedPressure,reDrillStatus,AutoNavigationIsActive,EadJamLowFlushTimeout,AutoRetract,Target_depth,ResetTargetDepth,RemotePropelEStop2_Remote,DB_TORQUE_SET,EadAirPressureJamEscape,EadJamVibrationTimeout,EadLowPenrateJamEscape,DB_RPM_MAX,InterventionCount,MaxNoOfJamExceededError_C,collarMode,ParkState,EadJamRotationTorqueTimeout_C,overDrill,EndHoleTimeInAutoDrill,BA BitToGround,SetupState,AveRotPressure,drillMode,EadVibrationJamEscape_C,startHoleTime,MoistureContentDrill,EadLowRpmJamEscape,borderHoleFlag
69,0,0,0,0,0,0,0,31/01/2025 23:54,0,1,0,0,13.865675675675675,0,0,453,0,37,1.914,0,0,0,0.024691,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.897266093,None,01/02/2025 00:00,6.28.1,0,298,0,2025-01-31 N,01/02/2025 00:01,None,0,453,0,1,0,59,0,-10000,0,6.28.1,None,0,453,0,242,0,165,3,0,0,0,0,13.865675675675675,0,8,0,39.45254054054054,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,-10000,0,0,0,38.83632432432432,1,0,31/01/2025 23:55,0,0,0
68,0,0,0,0,0,0,0,01/02/2025 00:01,0,1,0,0,15.30081081081081,0,0,482,0,37,1.6433513513513514,0,0,0,0.022341,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.919441414,None,01/02/2025 00:08,6.28.1,0,325,0,2025-01-31 N,01/02/2025 00:09,None,0,482,471,1,0,58,0,0.032756679,0,6.28.1,None,0,482,0,267,0,165,5,0,0,0,0,15.30081081081081,0,11,0,39.931378378378376,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.327,0,0,0,39.29154054054054,1,0,01/02/2025 00:03,0,0,0
70,0,0,0,0,0,0,0,01/02/2025 00:09,0,1,0,0,15.119605263157894,0,0,494,0,37,1.599578947368421,0,0,0,0.020768,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.999340696,None,01/02/2025 00:16,6.28.1,0,343,0,2025-01-31 N,01/02/2025 00:17,None,0,494,482,1,0,60,0,0.023021729,0,6.28.1,None,0,494,0,278,0,165,5,0,0,0,0,15.119605263157894,0,16,0,39.893605263157895,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.317,0,0,0,37.94565789473684,1,0,01/02/2025 00:11,0,0,0
68,0,0,0,0,0,0,0,01/02/2025 00:17,0,1,0,0,15.370135135135133,0,0,467,0,37,1.8443783783783785,0,0,0,0.024695,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.989405219,None,01/02/2025 00:24,6.28.1,0,308,0,2025-01-31 N,01/02/2025 00:25,None,0,467,449,1,0,58,0,0.014317821,0,6.28.1,None,0,467,0,249,0,165,5,0,0,0,0,15.370135135135133,0,13,0,40.19610810810811,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.35,0,0,0,40.12127027027027,1,0,01/02/2025 00:19,0,0,0
69,0,0,0,0,0,0,0,01/02/2025 00:25,0,1,0,0,14.348684210526315,0,0,209,1508,38,1.5013157894736842,0,0,0,0.021217,2,0,0,0,2,0,0,0,Success,0,0,0,0,0,0,0,3.975283386,None,01/02/2025 01:02,6.28.1,0,1409,0,2025-01-31 N,01/02/2025 01:04,None,0,786,2271,1,0,59,0,0.072732386,0,6.28.1,None,0,2296,1510,322,0,165,4,0,0,0,0,14.348684210526315,0,15,0,39.47323684210526,0,0,0,25,0,0,0,0,0,0,0,0,0,0,None,0,0,0.345,0,0,0,36.5395,1,0,01/02/2025 00:39,0,0,0
69,0,0,0,0,0,0,0,01/02/2025 01:04,0,1,0,0,15.189868421052632,0,0,0,476,37,1.6106052631578949,0,0,0,0.021928,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.972637663,None,01/02/2025 01:10,6.28.1,0,309,0,2025-01-31 N,01/02/2025 01:11,None,0,0,477,1,0,59,0,0.035735137,0,6.28.1,None,0,476,476,258,0,165,17,0,0,0,0,15.189868421052632,0,15,0,40.23968421052631,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.354,0,0,0,38.60710526315789,1,0,01/02/2025 01:05,0,0,0
67,0,0,0,0,0,0,0,01/02/2025 01:11,0,2,0,0,13.891184210526315,0,0,0,568,37,1.7599210526315787,0,0,0,0.022728,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.962613405,None,01/02/2025 01:20,6.28.1,0,408,0,2025-01-31 N,01/02/2025 01:21,None,0,0,552,1,0,57,0,0.031048349,0,6.28.1,None,0,568,568,306,0,165,5,0,0,0,0,13.891184210526315,0,9,0,39.868184210526316,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.334,0,0,0,40.04063157894737,1,0,01/02/2025 01:13,0,0,0
70,0,0,0,0,0,0,0,01/02/2025 01:21,0,1,0,0,15.406578947368422,0,0,0,693,37,1.9007894736842106,0,0,0,0.024403,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.006647601,None,01/02/2025 01:31,6.28.1,0,532,0,2025-01-31 N,01/02/2025 01:32,None,0,0,674,1,0,60,0,0.033615473,0,6.28.1,None,0,693,693,272,0,165,4,0,0,0,0,15.406578947368422,0,17,0,39.575526315789475,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.331,0,0,0,41.052473684210526,1,0,01/02/2025 01:22,0,0,0
49,0,0,0,0,0,0,0,01/02/2025 01:32,0,1,0,0,15.387692307692308,0,0,0,594,38,1.6715897435897438,0,0,0,0.020442,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,4.092641323,None,01/02/2025 01:41,6.28.1,0,439,0,2025-01-31 N,01/02/2025 01:42,None,0,0,592,1,0,49,0,0.04596738,0,6.28.1,None,0,594,594,360,0,165,4,0,0,0,0,15.387692307692308,0,18,0,40.278179487179486,0,0,0,20,0,0,0,0,0,0,0,0,0,0,None,0,0,0.291,0,0,0,39.32320512820513,1,0,01/02/2025 01:34,0,0,0
67,0,0,0,0,0,0,0,01/02/2025 01:53,0,1,0,0,15.118783783783783,0,0,0,560,37,1.8852702702702702,0,0,0,0.02511,2,0,0,0,0,0,0,0,Success,0,0,0,0,0,0,0,3.953488965,None,01/02/2025 02:01,6.28.1,0,298,0,2025-01-31 N,01/02/2025 02:02,None,0,0,720,1,0,57,0,0.04501111,0,6.28.1,None,0,560,560,240,0,165,5,0,0,0,0,15.118783783783783,0,12,0,39.52445945945946,0,0,0,24,0,0,0,0,0,0,0,0,0,0,None,0,0,0.341,0,0,0,37.036162162162164,1,0,01/02/2025 01:56,0,0,0
