rigSerial,holeID,currentShift,startHoleTime,status,drilledMeters,reDrillStatus
0,1,2025-01-31 D,31/01/2025 15:15,Success,3.912,0
0,2,2025-01-31 D,31/01/2025 15:23,Success,3.991,0
0,3,2025-01-31 D,31/01/2025 15:35,Success,3.909,0
0,4,2025-01-31 D,31/01/2025 15:43,Success,3.891,0
0,5,2025-01-31 D,31/01/2025 15:53,Success,3.901,0
0,6,2025-01-31 D,31/01/2025 16:00,Success,4.07,0
0,7,2025-01-31 D,31/01/2025 16:17,Success,4.385,0
0,8,2025-01-31 D,31/01/2025 16:38,Success,5.005,0
0,9,2025-01-31 D,31/01/2025 17:07,Success,5.129,0
0,10,2025-01-31 D,31/01/2025 17:28,Success,4.685,0
0,11,2025-01-31 D,31/01/2025 17:37,Success,5.492,0
0,12,2025-01-31 D,31/01/2025 17:57,Success,4.852,0
0,13,2025-01-31 N,31/01/2025 18:10,Success,4.876,0
0,14,2025-01-31 N,31/01/2025 18:20,Success,4.988,0
0,15,2025-01-31 N,31/01/2025 18:38,Success,5.015,0
0,16,2025-01-31 N,31/01/2025 18:54,Success,5.001,0
0,17,2025-01-31 N,31/01/2025 19:17,Success,4.951,0
0,18,2025-01-31 N,31/01/2025 19:40,Success,4.808,0
0,19,2025-01-31 N,31/01/2025 19:57,Success,4.701,0
0,20,2025-01-31 N,31/01/2025 20:15,Success,4.553,0
0,21,2025-01-31 N,31/01/2025 20:43,Success,4.477,0
0,22,2025-01-31 N,31/01/2025 20:55,Success,4.405,0
0,23,2025-01-31 N,31/01/2025 21:11,Success,4.317,0
0,24,2025-01-31 N,31/01/2025 21:21,Success,4.402,0
0,25,2025-01-31 N,31/01/2025 21:47,Success,4.288,0
0,26,2025-01-31 N,31/01/2025 21:57,Success,4.392,0
0,27,2025-01-31 N,31/01/2025 22:09,Success,4.381,0
0,28,2025-01-31 N,31/01/2025 22:47,Success,3.905,0
0,29,2025-01-31 N,31/01/2025 22:56,Success,3.969,0
0,30,2025-01-31 N,31/01/2025 23:05,Success,3.928,0
0,31,2025-01-31 N,31/01/2025 23:13,Success,3.947,0
0,32,2025-01-31 N,31/01/2025 23:20,Success,3.865,0
0,33,2025-01-31 N,31/01/2025 23:29,Success,3.938,0
0,34,2025-01-31 N,31/01/2025 23:47,Success,3.845,0
0,35,2025-01-31 N,31/01/2025 23:55,Success,3.897,0
0,36,2025-01-31 N,01/02/2025 00:03,Success,3.919,0
0,37,2025-01-31 N,01/02/2025 00:11,Success,3.999,0
0,38,2025-01-31 N,01/02/2025 00:19,Success,3.989,0
0,39,2025-01-31 N,01/02/2025 00:39,Success,3.975,0
0,40,2025-01-31 N,01/02/2025 01:05,Success,3.973,0
0,41,2025-01-31 N,01/02/2025 01:13,Success,3.963,0
0,42,2025-01-31 N,01/02/2025 01:22,Success,4.007,0
0,43,2025-01-31 N,01/02/2025 01:34,Success,4.093,0
0,44,2025-01-31 N,01/02/2025 01:44,Success,4.244,0
0,45,2025-01-31 N,01/02/2025 01:56,Success,3.953,0
0,46,2025-01-31 N,01/02/2025 02:04,Success,4.073,0
0,47,2025-01-31 N,01/02/2025 02:14,Success,4.177,0
0,48,2025-01-31 N,01/02/2025 02:22,Success,4.321,0
0,49,2025-01-31 N,01/02/2025 02:31,Success,4.365,0
0,50,2025-01-31 N,01/02/2025 02:42,Success,4.436,0
0,51,2025-01-31 N,01/02/2025 03:02,Success,4.22,0
0,52,2025-01-31 N,01/02/2025 03:11,Success,4.273,0
0,53,2025-01-31 N,01/02/2025 03:27,Success,4.445,0
0,54,2025-01-31 N,01/02/2025 03:41,Success,4.361,0
0,55,2025-01-31 N,01/02/2025 03:52,Success,4.631,0
0,56,2025-01-31 N,01/02/2025 04:04,Success,4.569,0
0,57,2025-01-31 N,01/02/2025 04:14,Success,4.982,0
0,58,2025-01-31 N,01/02/2025 04:23,Success,4.847,0
0,59,2025-01-31 N,01/02/2025 04:32,Success,4.914,0
0,60,2025-01-31 N,01/02/2025 04:47,Success,5.12,0
0,61,2025-01-31 N,01/02/2025 04:55,Success,5.206,0
0,62,2025-01-31 N,01/02/2025 05:09,Success,5.296,0
0,63,2025-01-31 N,01/02/2025 05:20,Fail,5.023,0
0,64,2025-01-31 N,01/02/2025 05:51,Success,5.049,0
0,65,2025-02-01 D,01/02/2025 06:00,Success,5.004,0
0,66,2025-02-01 D,01/02/2025 06:19,Success,5.049,0
0,67,2025-02-01 D,01/02/2025 06:28,Success,5.138,0
0,68,2025-02-01 D,01/02/2025 06:35,Success,5.203,0
0,69,2025-02-01 D,01/02/2025 06:46,Success,5.129,0
0,70,2025-02-01 D,01/02/2025 06:56,Success,5.023,0
0,71,2025-02-01 D,01/02/2025 07:05,Success,4.92,0
0,72,2025-02-01 D,01/02/2025 07:30,Success,5.064,0
0,73,2025-02-01 D,01/02/2025 08:04,Success,5.195,0
0,74,2025-02-01 D,01/02/2025 08:13,Success,5.221,0
0,75,2025-02-01 D,01/02/2025 08:37,Success,5.264,0
0,76,2025-02-01 D,01/02/2025 08:47,Success,5.172,0
0,77,2025-02-01 D,01/02/2025 08:56,Success,5.075,0
0,78,2025-02-01 D,01/02/2025 09:07,Success,5.004,0
0,79,2025-02-01 D,01/02/2025 09:25,Success,5.079,0
0,80,2025-02-01 D,01/02/2025 09:35,Success,5.191,0
0,81,2025-02-01 D,01/02/2025 09:47,Success,5.256,0
0,82,2025-02-01 D,01/02/2025 10:04,Success,5.174,0
0,83,2025-02-01 D,01/02/2025 10:15,Fail,1.038,0
0,84,2025-02-01 N,01/02/2025 18:23,Success,4.092,0
0,85,2025-02-01 N,01/02/2025 18:34,Success,4.997,0
0,86,2025-02-01 N,01/02/2025 18:50,Success,5.073,0
0,87,2025-02-01 N,01/02/2025 19:01,Success,5.086,0
0,88,2025-02-01 N,01/02/2025 19:10,Success,5.169,0
0,89,2025-02-01 N,01/02/2025 19:45,Success,3.94,0
